centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,geometry_wkt
15428438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1541, ""海西期"": 1986}",0.7459127366306052,0.0,0.5,0.5,0.4610694578207118,True,0,M03349,"POLYGON ((15427126.94 5022944.148, 15430126.94 5022944.148, 15430126.94 5019944.148, 15427126.94 5019944.148, 15427126.94 5022944.148))"
15431438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1590, ""海西期"": 2047}",0.7325198142022782,0.0,0.5,0.5,0.4563819349707974,True,0,M03350,"POLYGON ((15430126.94 5022944.148, 15433126.94 5022944.148, 15433126.94 5019944.148, 15430126.94 5019944.148, 15430126.94 5022944.148))"
15434438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1639, ""海西期"": 2108}",0.707915165598273,0.0,0.5,0.5,0.4477703079593956,True,0,M03351,"POLYGON ((15433126.94 5022944.148, 15436126.94 5022944.148, 15436126.94 5019944.148, 15433126.94 5019944.148, 15433126.94 5022944.148))"
15437438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1688, ""海西期"": 2169}",0.6835350293727411,0.0,0.5,0.5,0.4392372602804594,True,0,M03352,"POLYGON ((15436126.94 5022944.148, 15439126.94 5022944.148, 15439126.94 5019944.148, 15436126.94 5019944.148, 15436126.94 5022944.148))"
15440438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1737, ""海西期"": 2230}",0.6727828432670211,0.0,0.5,0.5,0.43547399514345736,True,0,M03353,"POLYGON ((15439126.94 5022944.148, 15442126.94 5022944.148, 15442126.94 5019944.148, 15439126.94 5019944.148, 15439126.94 5022944.148))"
15443438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1786, ""海西期"": 2291}",0.6673513010884293,0.0,0.5,0.5,0.43357295538095025,True,0,M03354,"POLYGON ((15442126.94 5022944.148, 15445126.94 5022944.148, 15445126.94 5019944.148, 15442126.94 5019944.148, 15442126.94 5022944.148))"
15446438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1835, ""海西期"": 2352}",0.7773976729224323,0.0,0.5,1.0,0.5470891855228512,True,0,M03355,"POLYGON ((15445126.94 5022944.148, 15448126.94 5022944.148, 15448126.94 5019944.148, 15445126.94 5019944.148, 15445126.94 5022944.148))"
15449438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1884, ""海西期"": 2413}",0.6717491392514947,0.0,0.5,0.5,0.43511219873802315,True,0,M03356,"POLYGON ((15448126.94 5022944.148, 15451126.94 5022944.148, 15451126.94 5019944.148, 15448126.94 5019944.148, 15448126.94 5022944.148))"
15452438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1933, ""海西期"": 2474}",0.6905646205777611,0.0,0.5,0.5,0.4416976172022164,True,0,M03357,"POLYGON ((15451126.94 5022944.148, 15454126.94 5022944.148, 15454126.94 5019944.148, 15451126.94 5019944.148, 15451126.94 5022944.148))"
15455438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1982, ""海西期"": 2535}",0.7608849755078761,0.0,0.5,1.0,0.5413097414277567,True,0,M03358,"POLYGON ((15454126.94 5022944.148, 15457126.94 5022944.148, 15457126.94 5019944.148, 15454126.94 5019944.148, 15454126.94 5022944.148))"
15458438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 2031, ""海西期"": 2596}",0.760219237809922,0.0,0.5,1.0,0.5410767332334726,True,0,M03359,"POLYGON ((15457126.94 5022944.148, 15460126.94 5022944.148, 15460126.94 5019944.148, 15457126.94 5019944.148, 15457126.94 5022944.148))"
15461438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 2080, ""海西期"": 2657}",0.713784973488379,0.0,0.5,0.5,0.44982474072093265,True,0,M03360,"POLYGON ((15460126.94 5022944.148, 15463126.94 5022944.148, 15463126.94 5019944.148, 15460126.94 5019944.148, 15460126.94 5022944.148))"
