vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(N_BA)Number of branch faults per unit area,6(N_LA)The number of fault lines per unit area
15335475.39,5037890.548,15338475.39,5037890.548,15338475.39,5034890.548,15335475.39,5034890.548,63515106.93,0,0,0,4424.157271,4424.157271,0,0,0,0,0.308165545,,6.97E-05,,6.97E-05,0,1,0,1,4424.157271,4424.157271,4424.157271,0,0,0,0,0,0
15335475.39,5034890.548,15338475.39,5034890.548,15338475.39,5031890.548,15335475.39,5031890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5031890.548,15338475.39,5031890.548,15338475.39,5028890.548,15335475.39,5028890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5028890.548,15338475.39,5028890.548,15338475.39,5025890.548,15335475.39,5025890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5025890.548,15338475.39,5025890.548,15338475.39,5022890.548,15335475.39,5022890.548,63515106.93,7.87E-09,7.87E-09,80.35028905,40.17514452,40.17514452,0,0,0,5.08E-05,2.54E-05,,6.33E-07,,6.33E-07,0.5,1,0.5,1,40.17514452,40.17514452,40.17514452,0,0,1,0,7.87E-09,31757553.47
15335475.39,5022890.548,15338475.39,5022890.548,15338475.39,5019890.548,15335475.39,5019890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5019890.548,15338475.39,5019890.548,15338475.39,5016890.548,15335475.39,5016890.548,63515106.93,7.87E-09,7.87E-09,203.176351,101.5881755,101.5881755,0,0,0,0.000324967,0.000162484,,1.60E-06,,1.60E-06,0.5,1,0.5,1,101.5881755,101.5881755,101.5881755,0,0,1,0,7.87E-09,31757553.47
15335475.39,5016890.548,15338475.39,5016890.548,15338475.39,5013890.548,15335475.39,5013890.548,63515106.93,7.87E-09,7.87E-09,1009.954455,504.9772276,504.9772276,0,0,0,0.008029649,0.004014824,,7.95E-06,,7.95E-06,0.5,1,0.5,1,504.9772276,504.9772276,504.9772276,0,0,1,0,7.87E-09,31757553.47
15335475.39,5013890.548,15338475.39,5013890.548,15338475.39,5010890.548,15335475.39,5010890.548,63515106.93,7.87E-09,7.87E-09,5517.060736,2758.530368,2758.530368,0,0,0,0.239611965,0.119805983,,4.34E-05,,4.34E-05,0.5,1,0.5,1,2758.530368,2758.530368,2758.530368,0,0,1,0,7.87E-09,31757553.47
15335475.39,5010890.548,15338475.39,5010890.548,15338475.39,5007890.548,15335475.39,5007890.548,63515106.93,1.57E-08,1.57E-08,5870.567466,2715.683169,3154.884297,0,0,0,0.542604178,0.271302089,,9.24E-05,,9.24E-05,1,2,1,2,2935.283733,2715.683169,3154.884297,0,0,1,0,1.57E-08,63515106.93
